Summary,Issue Type,Status,Project key,Description, issue link (Relates)
TO-CR-1 Rejected Issues,Improvement,Done,WINDEV,Total issues: 0,WINDEV-103
TO-CR-1 Accepted Issues,Improvement,To Do,WINDEV,"Total issues: 62   

Discussion comment: 1   
Rule 6-6-4 states for any iteration statement, which in this case is the while loop, there shall be no more than one break or goto statement used for loop termination. See if it is possible to restructure the code 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=b4bd0a9f-2c99-4f2b-a244-ed8cec4a4c57&filePath=/fsw/src/to_priority_queue.c   

Discussion comment: 2   
Rule 6-6-4 states for any iteration statement, which in this case is the while loop, there shall be no more than one break or goto statement used for loop termination. See if it is possible to restructure the code 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=b7fa4f28-35ae-47f5-960c-f0efdd4ecbf8&filePath=/fsw/src/to_message_flow.c   

Discussion comment: 3   
give more information about events 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=522fd8a4-cce9-4cb4-887b-7cc5f8ca18dd&filePath=/fsw/src/to_events.h   

Discussion comment: 4   
missing else{} block, line 288 as well 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=85119de5-c51a-48d4-8475-eab0119102a6&filePath=/fsw/src/to_config_utils.c   

Discussion comment: 5   
Rule 6-6-4 states for any iteration statement, which in this case is the while loop, there shall be no more than one break or goto statement used for loop termination. See if it is possible to restructure the code 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=0a788888-9314-4016-805a-61271b5c8df9&filePath=/fsw/src/to_classifier.c   

Discussion comment: 6   
Empty if block 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=f4c266b0-a706-474c-aa9a-79cdb3a174d0&filePath=/fsw/src/to_app.c   

Discussion comment: 7   
Initialize this variable 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=0469902b-090d-41a3-a05f-b3c9ce94a72b&filePath=/fsw/src/to_app.c   

Discussion comment: 8   
Rule 6-6-4 states for any iteration statement, which in this case is the while loop, there shall be no more than one break or goto statement used for loop termination. See if it is possible to restructure the code. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=ebeaa4ae-ef0b-4fa1-99b3-ab0071ba47bd&filePath=/fsw/src/to_app.c   

Discussion comment: 9   
May want to change the 1 to true, Rule 5𢠣3 states ""The condition of an if-statement and the condition of an iteration-statement shall have type boolean."" 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=ea13e8eb-fd13-48c9-89ed-5e3efc680d87&filePath=/fsw/src/to_app.c   

Discussion comment: 10   
Rule 6-4-3 states that a switch statement shall be well formed. A break statement may be required at the end of default case. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=a27bbb37-5df6-4510-a7b9-2e517f2cf5f5&filePath=/fsw/src/to_app.c   

Discussion comment: 11   
Set this to 1 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=87e0a9d3-86f0-41c0-9563-165b995b8a74&filePath=/fsw/src/to_version.h   

Discussion comment: 12   
Is this really used? 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=559a3144-c3b2-4251-986e-97b275f15f02&filePath=/fsw/src/to_tbldefs.h   

Discussion comment: 13   
Delete if this is not needed, or move private types to here. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=fa61c7de-2e80-4ddf-ab76-74b434faaec8&filePath=/fsw/src/to_private_types.h   

Discussion comment: 14   
Delete if this is not needed. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=b99eeb63-6d2a-4d7a-a3c9-2ba8fa94a6db&filePath=/fsw/src/to_private_ids.h   

Discussion comment: 15   
Delete this if it isn't really needed. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=a4fc23b3-54a1-490b-8652-2c37ade60ca9&filePath=/fsw/src/to_output_queue.c   

Discussion comment: 16   
Remove all TODO 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=3bd418d0-19ae-4fb3-a7bf-6127d2ce95aa&filePath=/fsw/src/to_msg.h   

Discussion comment: 17   
Global comment.  Add specific detail to EVS event text like channel index, message ID, flow index, pqueue index, etc... 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=14d37a7b-d721-40c6-b0b8-08fe95860c3b&filePath=/fsw/src/to_message_flow.c   

Discussion comment: 18   
MISRA C++ 2008 Rule 6-4-2 ""All if else if constructs shall be terminated with an else clause."" 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=a75fa2ba-a19c-49f7-92cd-262a2e9fd98e&filePath=/fsw/src/to_priority_queue.c   

Discussion comment: 19   
return (iStatus); 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=0e5df07f-9b0c-4c1c-8852-f8b8a58af3bd&filePath=/fsw/src/to_priority_queue.c   

Discussion comment: 20   
Range check channel ID, message limit, and pqueue index.  If possible, perform a simple validation on the message ID. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=7245eed6-131f-4d0c-a5e4-e773d31e2a00&filePath=/fsw/src/to_message_flow.c   

Discussion comment: 21   
Include the channel id and message id in the text. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=148d8ca1-8a74-4219-a3c7-29d10c33a8e4&filePath=/fsw/src/to_message_flow.c   

Discussion comment: 22   
Include the index of the channel that failed to open. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=f9796dbb-1338-4809-add8-3503696501f2&filePath=/fsw/src/to_message_flow.c   

Discussion comment: 23   
Include the index of the specified channel in the message. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=53251583-1b40-484e-a6b9-aaecd8410dc3&filePath=/fsw/src/to_message_flow.c   

Discussion comment: 24   
Make the Qos a channel table parameter. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=953b6361-e1f6-4809-9222-280f654f96cc&filePath=/fsw/src/to_message_flow.c   

Discussion comment: 25   
Global comment.  Delete unused variable.  Consider adding switches to generate errors or warnings with unused variables to the PSP so the build will catch them all automatically. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=98b5d49a-490b-42bc-a7a2-525c5d073554&filePath=/fsw/src/to_config_utils.c   

Discussion comment: 26   
Use a TO macro rather than CFE_TBL_OPT_DEFAULT.  Let the integrator decide to use CFE_TBL_OPT_DEFAULT, single or double. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=09c6d6f8-5ba7-4515-8602-ff18bf582d4b&filePath=/fsw/src/to_config_utils.c   

Discussion comment: 27   
Should these be uint32? 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=d769ecce-9d52-4cc8-83cc-6c33191f6221&filePath=/fsw/src/to_classifier.c   

Discussion comment: 28   
Range check the inputs.  Ensure channel is not zero. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=0015b4d3-f5b6-4fed-b567-af58e75639e9&filePath=/fsw/src/to_classifier.c   

Discussion comment: 29   
Global comment.  Add __cplusplus ifdef. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=6ac86801-8eb1-4a8a-8a21-5ba79a4bc9cc&filePath=/fsw/src/to_channel.h   

Discussion comment: 30   
Check for buffer overflow. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=00dfb9cd-f571-48b7-ada3-346772182c0e&filePath=/fsw/src/to_channel.c   

Discussion comment: 31   
Ensure the custom layer is terminated and cannot try to use this mutex. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=e1b8e147-3e88-4868-ad8d-1d500579c739&filePath=/fsw/src/to_channel.c   

Discussion comment: 32   
Ensure there is no possibility of a buffer overflow or returning an illegal pointer. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=ba310acc-c9a0-4199-a0c0-f0dfc1dc105e&filePath=/fsw/src/to_channel.c   

Discussion comment: 33   
Global comment.  Add comment header blocks before each function, and add more comments internal to the functions. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=64f085e1-29f0-43c4-81a3-7db645208f07&filePath=/fsw/src/to_channel.c   

Discussion comment: 34   
Consider making the pipe name a channel table parameter. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=fd467156-8ef7-4e09-abbc-46a0a0599cba&filePath=/fsw/src/to_channel.c   

Discussion comment: 35   
Depth should probably be a channel table parameter. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=b5b081c0-c792-43fa-9a63-28a7dac644e1&filePath=/fsw/src/to_channel.c   

Discussion comment: 36   
This should be an int32. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=e4da1e65-be13-4bd0-b7fa-4d6164dd9da1&filePath=/fsw/src/to_channel.c   

Discussion comment: 37   
Initialize variables. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=79df54ab-1a6a-4dc7-8244-04ead9b4293c&filePath=/fsw/src/to_channel.c   

Discussion comment: 38   
This is a global comment.  Replace ""-1"" with an enumeration.  Update all hard coded return codes to enumerations. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=1d5776c4-9e49-4eea-95af-ce28c4406164&filePath=/fsw/src/to_channel.c   

Discussion comment: 39   
Update this to snprintf. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=e22d3d5b-aaf7-402d-92bd-663528006bcb&filePath=/fsw/src/to_channel.c   

Discussion comment: 40   
This is a global comment to TO.  Review all function prototypes and add the const modifier where appropriate. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=2d1633a9-5a7c-4d4e-b719-a244bfbe1a1b&filePath=/fsw/src/to_app.h   

Discussion comment: 41   
Consider removing the iBlocking argument to simplify code. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=dcf89cdf-f19d-4135-b1a9-bcd7ca6e6ba3&filePath=/fsw/src/to_app.h   

Discussion comment: 42   
The next two parameters are boilerplate artifacts.  Delete them. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=e01310ab-5f7d-4d6a-b61f-8fcf85217f12&filePath=/fsw/src/to_app.h   

Discussion comment: 43   
Remove the data type prefix. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=65969c67-d931-460b-b959-8a97bdca7a5a&filePath=/fsw/src/to_app.h   

Discussion comment: 44   
Delete this file.  This is a file holdover from a superseded implementation. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=85840fec-7efd-46be-806f-ba13a654278f&filePath=/fsw/src/cmds.c   

Discussion comment: 45   
Delete this file.  This is a file holdover from a superseded implementation. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=de1221df-64a8-4396-9bda-09d5764129e8&filePath=/fsw/src/app.c   

Discussion comment: 46   
We should probably abort initialization if the EVS registration fails. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=32dd5052-3eb6-4912-b60f-ae8049cbe72a&filePath=/fsw/src/app.c   

Discussion comment: 47   
This appears to be unmodified boilerplate. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=322d1054-1ce2-4aaf-96b5-8810572b6867&filePath=/fsw/src/app.c   

Discussion comment: 48   
Add the remaining events and implement the custom event concept that Casey has in his code. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=b8cfac8a-2d1b-4d44-9223-869aae24f31e&filePath=/fsw/src/app.c   

Discussion comment: 49   
Add code to clear internal data structures to ensure BSS is clear and avoid the module reload problem inherent with linux. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=f4a47754-1a39-47f6-9745-e3017f46e29c&filePath=/fsw/src/app.c   

Discussion comment: 50   
Can this be CFE_SB_Msg_t* instead of void * for extra readability? 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=6667937b-4a43-46c4-83fa-6256846b6098&filePath=/fsw/src/to_priority_queue.c   

Discussion comment: 51   
Doxygen 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=0e849109-b437-48a3-a0b5-24e8b5c996d5&filePath=/fsw/src/to_priority_queue.h   

Discussion comment: 52   
TODO 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=835fe647-3388-49c5-976a-27e14753d431&filePath=/fsw/src/to_private_types.h   

Discussion comment: 53   
Can this be CFE_SB_Msg_t* instead of void * for extra readability? 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=bf651657-ebfa-4558-a8f8-5fc871ed35f2&filePath=/fsw/src/to_scheduler.c   

Discussion comment: 54   
Can this be CFE_SB_Msg_t* instead of void * for extra readability? 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=57f0656d-6621-4d36-9ff8-dc7c8095d082&filePath=/fsw/src/to_output_queue.c   

Discussion comment: 55   
Missing boilerplate. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=34a329b8-4e3e-48a5-a6a1-e4031324ee19&filePath=/fsw/src/to_output_channel.h   

Discussion comment: 56   
Could this be CFE_SB_Msg_t* instead of void * to slightly enhance readability? 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=90652f83-8bf4-4f88-97f8-7b3521e12046&filePath=/fsw/src/to_output_channel.c   

Discussion comment: 57   
Missing boilerplate. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=f471d62f-ba91-4020-b77a-9d95bf572a1c&filePath=/fsw/src/to_output_channel.c   

Discussion comment: 58   
doxygen 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=15f36b07-f9ae-4884-92ea-27cebe47ac0a&filePath=/fsw/src/to_msg.h   

Discussion comment: 59   
doxygen 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=fbba0820-9b12-497a-859f-3125dff39fac&filePath=/fsw/src/to_message_flow.h   

Discussion comment: 60   
doxygen 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=9155620f-9b3e-473b-8d4f-88963c97c658&filePath=/fsw/src/to_events.h   

Discussion comment: 61   
doxygen 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=07539704-cfd8-4d40-91be-bb77cb563dd0&filePath=/fsw/src/to_config_utils.h   

Discussion comment: 62   
TODO 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=7f6ccac1-64ad-4bee-94eb-ab101f63b3f4&filePath=/fsw/src/to_config_utils.c   
",WINDEV-103
ULR-CR-1 Bug Issues,Bug,To Do,WINDEV,Total issues: 0,WINDEV-148
ULR-CR-1 Style Issues,Improvement,To Do,WINDEV,"Total issues: 1   

Discussion comment: 1   
Remove lines between includes, refer to line 57 as well 
http://18.188.47.171:8080/ulr/review/ULR-CR-1?commentId=f91b03c9-5974-46e5-9069-ba44f413ca23&filePath=/fsw/src/ulr_app.h   
",WINDEV-148
ULR-CR-1 Rejected Issues,Improvement,Done,WINDEV,Total issues: 0,WINDEV-148
ULR-CR-1 Accepted Issues,Improvement,To Do,WINDEV,"Total issues: 24   

Discussion comment: 1   
Distance is being reported in line 677, Would you use this function to report or get rid of it completely? 
http://18.188.47.171:8080/ulr/review/ULR-CR-1?commentId=73006265-b2e0-44d7-b28e-9220997cebe0&filePath=/fsw/src/ulr_app.cpp   

Discussion comment: 2   
Case and default constructs should be enclosed in curly braces. 
http://18.188.47.171:8080/ulr/review/ULR-CR-1?commentId=5aff2c0d-7e70-4dfa-be01-31e5d6445cfe&filePath=/fsw/src/ulr_app.cpp   

Discussion comment: 3   
Rule 6-6-4 states for any iteration statement, which in this case is the while loop, there shall be no more than one break or goto statement used for loop termination. See if it is possible to restructure the code. 
http://18.188.47.171:8080/ulr/review/ULR-CR-1?commentId=939dc7bb-5376-4beb-ab0c-a38991ecd892&filePath=/fsw/src/ulr_app.cpp   

Discussion comment: 4   
May want to change the 1 to true, Rule 5𢠣3 states ""The condition of an if-statement and the condition of an iteration-statement shall have type boolean."" 
http://18.188.47.171:8080/ulr/review/ULR-CR-1?commentId=9dfaa390-9e0f-46fe-92b2-5d96f520f21c&filePath=/fsw/src/ulr_app.cpp   

Discussion comment: 5   
Remove magic number and divide current distance by 100 , so the unit of current distance is meters 
http://18.188.47.171:8080/ulr/review/ULR-CR-1?commentId=9f0fa668-ebf1-4fae-8812-550d5b1a35a1&filePath=/fsw/src/ulr_app.cpp   

Discussion comment: 6   
Global: Change to return(x); instead of return x; 
http://18.188.47.171:8080/ulr/review/ULR-CR-1?commentId=b267b789-b707-44bd-bf0f-4b356d5dccba&filePath=/fsw/src/ulr_app.cpp   

Discussion comment: 7   
Use CFE's boolean type 
http://18.188.47.171:8080/ulr/review/ULR-CR-1?commentId=5a9b5414-505e-420c-a82f-3a157d2e2905&filePath=/fsw/src/ulr_app.cpp   

Discussion comment: 8   
Rule 6-6-4 states for any iteration statement, which in this case is the while loop, there shall be no more than one break or goto statement used for loop termination. See if it is possible to restructure the code 
http://18.188.47.171:8080/ulr/review/ULR-CR-1?commentId=0c2e9a4a-6df0-44f6-abd1-a23f5c40b6f2&filePath=/fsw/src/ulr_app.cpp   

Discussion comment: 9   
Rule 6-4-3 states that a switch statement shall be well formed. A break statement may be required at the end of default case. 
http://18.188.47.171:8080/ulr/review/ULR-CR-1?commentId=582650e5-a75d-4ac4-8ca9-8ab21a271f04&filePath=/fsw/src/ulr_app.cpp   

Discussion comment: 10   
License boilerplate is missing 
http://18.188.47.171:8080/ulr/review/ULR-CR-1?commentId=7b26c41d-1c4a-495b-b769-1013d269830f&filePath=/fsw/src/ulr_app.cpp   

Discussion comment: 11   
Consider using CFE's boolean type 
http://18.188.47.171:8080/ulr/review/ULR-CR-1?commentId=d9668e9d-48ac-44af-a157-f55288672fce&filePath=/fsw/src/ulr_app.h   

Discussion comment: 12   
May want to remove such comments 
http://18.188.47.171:8080/ulr/review/ULR-CR-1?commentId=ba5f61b8-64e8-4af6-9e6f-c5132984738a&filePath=/fsw/src/ulr_app.h   

Discussion comment: 13   
Complete Doxygen 
http://18.188.47.171:8080/ulr/review/ULR-CR-1?commentId=b7681367-a29b-42ab-b331-ca6a0e5e3a12&filePath=/fsw/src/ulr_app.h   

Discussion comment: 14   
Convert the bool type to CFE boolean type 
http://18.188.47.171:8080/ulr/review/ULR-CR-1?commentId=6d06228a-a075-45ce-9e51-bebf7da1ecb8&filePath=/fsw/src/ulr_app.h   

Discussion comment: 15   
Remove lines between includes, refer to line 57 as well 
http://18.188.47.171:8080/ulr/review/ULR-CR-1?commentId=f91b03c9-5974-46e5-9069-ba44f413ca23&filePath=/fsw/src/ulr_app.h   

Discussion comment: 16   
Add doxygen describing these attibutes 
http://18.188.47.171:8080/ulr/review/ULR-CR-1?commentId=84b955ad-c962-49b0-baab-2517c0cc3dd8&filePath=/fsw/src/ulr_msg.h   

Discussion comment: 17   
Set these EID's values explicitly. 
http://18.188.47.171:8080/ulr/review/ULR-CR-1?commentId=78b65978-ec5a-432a-a25e-283f810f44e6&filePath=/fsw/src/ulr_events.h   

Discussion comment: 18   
I think these should end in ""_EID"" 
http://18.188.47.171:8080/ulr/review/ULR-CR-1?commentId=73f0d416-c0b4-4c89-8e47-0fe46f4ad952&filePath=/fsw/src/ulr_events.h   

Discussion comment: 19   
Complete Doxy. 
http://18.188.47.171:8080/ulr/review/ULR-CR-1?commentId=3ff72c40-ce5c-4b8a-abf0-4685333a0aa4&filePath=/fsw/src/ulr_events.h   

Discussion comment: 20   
Consider moving these macros to the platform config file. 
http://18.188.47.171:8080/ulr/review/ULR-CR-1?commentId=92e44fcb-1093-483f-874e-078aea9d3dc0&filePath=/fsw/src/ulr_app.h   

Discussion comment: 21   
Remove comment. 
http://18.188.47.171:8080/ulr/review/ULR-CR-1?commentId=902c5e86-ee38-47aa-9d94-5b2fd8796a8d&filePath=/fsw/src/ulr_app.cpp   

Discussion comment: 22   
Replace OS_printf with a CFE EVS event. 
http://18.188.47.171:8080/ulr/review/ULR-CR-1?commentId=2ac0a6b2-1a14-484b-9e4b-8e12feb86c9b&filePath=/fsw/src/ulr_app.cpp   

Discussion comment: 23   
Uncomment this code. 
http://18.188.47.171:8080/ulr/review/ULR-CR-1?commentId=4bdf1a33-9cf6-4ae5-b090-4e8403ca33bd&filePath=/fsw/src/ulr_app.cpp   

Discussion comment: 24   
Global comment.  Remove all magic numbers. 
http://18.188.47.171:8080/ulr/review/ULR-CR-1?commentId=8852ad7d-e6f7-466b-91ff-56d1e567ac83&filePath=/fsw/src/ulr_app.cpp   
",WINDEV-148
VC-CR-1 Bug Issues,Bug,To Do,WINDEV,Total issues: 0,WINDEV-149
VC-CR-1 Style Issues,Improvement,To Do,WINDEV,"Total issues: 2   

Discussion comment: 1   
Remove line for consistency 
http://18.188.47.171:8080/vc/review/VC-CR-1?commentId=dec5940f-08ff-4a2b-8472-497c1070cc94&filePath=/fsw/src/vc_app.c   

Discussion comment: 2   
Remove line for consistency 
http://18.188.47.171:8080/vc/review/VC-CR-1?commentId=5478942c-db4c-4b5f-8013-d6920a22eee9&filePath=/fsw/src/vc_app.c   
",WINDEV-149
VC-CR-1 Rejected Issues,Improvement,Done,WINDEV,Total issues: 0,WINDEV-149
VC-CR-1 Accepted Issues,Improvement,To Do,WINDEV,"Total issues: 26   

Discussion comment: 1   
Global comment: Check for general style. (void*) in memset (void) before functions that have returns, return (returnVal) style etc. 
http://18.188.47.171:8080/vc/review/VC-CR-1?commentId=47780321-024a-4875-b678-bbce0a4d4317&filePath=/fsw/src/vc_app.c   

Discussion comment: 2   
Global comment.  Make sure you define all your args in the doxy. 
http://18.188.47.171:8080/vc/review/VC-CR-1?commentId=18ffb011-daee-42a7-9889-ddb3c3b39350&filePath=/fsw/src/vc_transmit.h   

Discussion comment: 3   
Complete these doxy briefs. 
http://18.188.47.171:8080/vc/review/VC-CR-1?commentId=128996fc-ae92-4f41-b3e3-53672ca7bb96&filePath=/fsw/src/vc_events.h   

Discussion comment: 4   
Global comment.  Remove all TODOs. 
http://18.188.47.171:8080/vc/review/VC-CR-1?commentId=dd3b7496-ebf7-4d02-92e6-f26255e8708f&filePath=/fsw/src/vc_events.h   

Discussion comment: 5   
Validate your commands.  With no-arg commands, at least validate size.  See the applications generated after VC for a good template. 
http://18.188.47.171:8080/vc/review/VC-CR-1?commentId=4228c3ff-a075-400c-961d-ece786e637b6&filePath=/fsw/src/vc_app.c   

Discussion comment: 6   
Is this really all it does when it wakes up?  If so, change the macro to something like ""VC_PROCESS_CMDS_MID"" so its more specific. 
http://18.188.47.171:8080/vc/review/VC-CR-1?commentId=830c7c3c-9da9-4e97-b8e1-d1d720d015b1&filePath=/fsw/src/vc_app.c   

Discussion comment: 7   
Register all your events. 
http://18.188.47.171:8080/vc/review/VC-CR-1?commentId=edf26db7-f8fb-4ee9-950b-82ad7706f1b5&filePath=/fsw/src/vc_app.c   

Discussion comment: 8   
Ensure this function and none of the functions it calls, call any CFE function.  Reserve this callback for behavior required to recover from an abnormal termination so it can be successfully restarted if needed. 
http://18.188.47.171:8080/vc/review/VC-CR-1?commentId=82e9afd1-f0a5-4cf2-b34e-74f4807a1fcf&filePath=/fsw/src/vc_app.c   

Discussion comment: 9   
Clear all of VC_AppData, not just HkTlm.  This is a good idea due to an issue with Linux causing it to not clear global data when applications are reloaded.  But, make sure you do it before the line above, or any line that sets anything in VC_AppData. 
http://18.188.47.171:8080/vc/review/VC-CR-1?commentId=f88da472-2c13-4e7c-ab06-f31b6b20daba&filePath=/fsw/src/vc_app.c   

Discussion comment: 10   
Global comment.  Replace all these hard coded return codes like -1 and 0 with application specific enumerations. 
http://18.188.47.171:8080/vc/review/VC-CR-1?commentId=80a51cb5-f5d0-4d91-bfa0-20af11cbb984&filePath=/fsw/src/vc_app.c   

Discussion comment: 11   
It doesn't look like all the events are added to the filter table.  Add all of them. 
http://18.188.47.171:8080/vc/review/VC-CR-1?commentId=0473f149-e303-4d7a-9ff9-c78712957cde&filePath=/fsw/src/vc_app.c   

Discussion comment: 12   
Update or delete this file. 
http://18.188.47.171:8080/vc/review/VC-CR-1?commentId=7cbf2fc1-3b59-40cb-9f09-7c7eff1b2f99&filePath=/fsw/src/ReadMe.txt   

Discussion comment: 13   
Copy in mission and platform config files from a working sitl build.  Ensure message ID and perf IDs are defined in their respective header files rather than a common header file.  Update all doxy. 
http://18.188.47.171:8080/vc/review/VC-CR-1?commentId=da558c41-d085-49ab-8b92-8015eedb3abd&filePath=/fsw/mission_inc/vc_mission_cfg.h   

Discussion comment: 14   
Delete the ""CMakeLists.txt~"" file. 
http://18.188.47.171:8080/vc/review/VC-CR-1?commentId=f0f580e9-a409-41d0-88e7-d076c6392312&filePath=/fsw/for_build/CMakeLists.txt   

Discussion comment: 15   
Rule 6-6-4 states for any iteration statement, which in this case is the while loop, there shall be no more than one break or goto statement used for loop termination. See if it is possible to restructure the code. 
http://18.188.47.171:8080/vc/review/VC-CR-1?commentId=968310e7-d61d-47e5-a6b9-33e6bc23ee6f&filePath=/fsw/src/vc_app.c   

Discussion comment: 16   
May want to change the 1 to true, Rule 5𢠣3 states ""The condition of an if-statement and the condition of an iteration-statement shall have type boolean."" 
http://18.188.47.171:8080/vc/review/VC-CR-1?commentId=4d0d1b74-3d09-404b-a8a5-955382ec50bb&filePath=/fsw/src/vc_app.c   

Discussion comment: 17   
Rule 6-4-3 states that a switch statement shall be well formed. A break statement may be required at the end of default case. 
http://18.188.47.171:8080/vc/review/VC-CR-1?commentId=440f2bf8-5006-4d3f-9ae2-33c945dec9f3&filePath=/fsw/src/vc_app.c   

Discussion comment: 18   
Remove line for consistency 
http://18.188.47.171:8080/vc/review/VC-CR-1?commentId=dec5940f-08ff-4a2b-8472-497c1070cc94&filePath=/fsw/src/vc_app.c   

Discussion comment: 19   
Remove line for consistency 
http://18.188.47.171:8080/vc/review/VC-CR-1?commentId=5478942c-db4c-4b5f-8013-d6920a22eee9&filePath=/fsw/src/vc_app.c   

Discussion comment: 20   
Are we going to verify only NoOp and Reset commands? 
http://18.188.47.171:8080/vc/review/VC-CR-1?commentId=dbd6d463-5eb7-47dc-a3ab-7eac30bf4d20&filePath=/fsw/src/vc_cmds.c   

Discussion comment: 21   
Global: Complete doxygen 
http://18.188.47.171:8080/vc/review/VC-CR-1?commentId=3f0e3dc7-9c79-40e0-85cc-e3b7bb3d97ea&filePath=/fsw/src/vc_events.h   

Discussion comment: 22   
All enumerations shall also have corresponding numeric values assigned to them. 
http://18.188.47.171:8080/vc/review/VC-CR-1?commentId=a979726a-35ed-4ddf-b72b-766a149b7341&filePath=/fsw/src/vc_events.h   

Discussion comment: 23   
Isn't it supposed to be  (1) 
http://18.188.47.171:8080/vc/review/VC-CR-1?commentId=0ed2c8c4-1561-4a0e-86a8-e7a0fd48af2c&filePath=/fsw/src/vc_version.h   

Discussion comment: 24   
Update this document 
http://18.188.47.171:8080/vc/review/VC-CR-1?commentId=bf8abe5c-35a5-449e-8a53-ca0dd1877fbf&filePath=/docs/dox_src/users_guide/cfs_vc.dox   

Discussion comment: 25   
This page may be missing commands like start and stop VC 
http://18.188.47.171:8080/vc/review/VC-CR-1?commentId=aebbbfbc-fe99-41b7-bfc1-f9fa47d39a71&filePath=/docs/dox_src/mnem_maps/cfs_vc_cmd_mnem_map   

Discussion comment: 26   
Needs to be updated. 
http://18.188.47.171:8080/vc/review/VC-CR-1?commentId=149982fa-80fc-4b54-a428-ccb1d38484af&filePath=/docs/dox_src/detailed_design/cfs_vc.dox   
",WINDEV-149
VM-CR-1 Bug Issues,Bug,To Do,WINDEV,Total issues: 0,WINDEV-150
